YearMonth,In-Out,CompanyCode,TotalOrder,DetailContract,SVTTotal,SVTForeigner,OrderTotal,DetailOrderForeigner
2017-09-01,1,0,260,0,99,64,30,0
2017-09-01,1,1,160,0,126,62,3,0
2017-09-01,1,2,18,0,11,0,3,0
2017-09-01,1,3,28,0,22,11,0,0
2017-09-01,1,4,110,0,77,74,9,9
2017-09-01,1,5,42,0,42,41,0,0
2017-09-01,1,6,170,0,13,13,0,0
2017-09-01,1,7,193,80,9,3,0,0
2017-09-01,1,8,88,30,10,2,0,0
2017-09-01,1,9,108,0,70,60,0,0
2017-09-01,1,10,23,0,11,11,0,0
2017-09-01,1,11,130,0,46,33,13,0
2017-09-01,0,12,210,0,87,0,40,0
2017-09-01,0,13,44,0,43,0,0,0
2017-09-01,0,14,140,0,16,0,15,0
2017-09-01,0,15,200,0,9,0,14,0
2017-09-01,0,16,80,0,9,0,0,0
2017-09-01,0,17,35,0,7,0,2,0
2017-09-01,0,18,7,0,1,0,0,0
2017-09-01,0,19,10,0,1,0,0,0
2017-09-01,0,20,50,0,30,0,0,0
2017-09-01,0,21,50,0,21,0,0,0
2017-09-01,0,22,2500,0,0,0,0,0
2017-09-01,0,23,150,0,8,0,12,0
2017-09-01,0,24,0,0,0,0,0,0
2017-09-01,0,25,10,0,1,0,5,0
2017-09-01,0,26,80,0,5,0,10,0
2017-09-01,0,27,45,0,6,0,5,0
2017-09-01,0,28,77,0,4,4,22,10
2017-09-01,0,29,20,0,4,1,5,5
2017-09-01,0,30,15,0,5,0,2,2
2017-10-01,1,0,295,0,99,62,6,0
2017-10-01,1,1,180,180,126,60,1,0
2017-10-01,1,2,18,0,11,0,4,0
2017-10-01,1,3,20,0,14,11,0,0
2017-10-01,1,4,104,0,77,70,9,9
2017-10-01,1,5,42,0,42,41,2,2
2017-10-01,1,6,166,0,12,12,0,0
2017-10-01,1,7,176,70,8,3,0,0
2017-10-01,1,8,77,30,10,2,0,0
2017-10-01,1,9,78,0,72,60,0,0
2017-10-01,1,10,22,0,11,11,0,0
2017-10-01,1,11,176,0,53,39,19,6
2017-10-01,0,12,250,0,91,0,30,0
2017-10-01,0,13,46,0,45,0,45,0
2017-10-01,0,14,140,0,15,0,16,0
2017-10-01,0,15,190,0,9,0,3,1
2017-10-01,0,16,80,0,8,0,3,0
2017-10-01,0,17,37,0,8,0,2,0
2017-10-01,0,18,30,0,1,0,0,0
2017-10-01,0,19,20,0,1,0,0,0
2017-10-01,0,20,50,0,29,0,5,0
2017-10-01,0,21,50,0,22,0,10,0
2017-10-01,0,22,2500,0,0,0,0,0
2017-10-01,0,23,120,0,8,0,5,0
2017-10-01,0,24,0,0,0,0,0,0
2017-10-01,0,25,10,0,1,0,0,5
2017-10-01,0,26,111,0,6,0,10,0
2017-10-01,0,27,40,0,6,0,5,0
2017-10-01,0,28,170,0,6,6,20,12
2017-10-01,0,29,40,0,6,1,10,2
2017-10-01,0,30,15,0,4,0,5,0
2017-11-01,1,0,295,0,100,62,30,16
2017-11-01,1,1,187,0,125,0,1,0
2017-11-01,1,2,19,0,11,0,3,0
2017-11-01,1,3,20,0,14,11,0,0
2017-11-01,1,4,103,0,74,69,12,12
2017-11-01,1,5,44,44,44,43,4,4
2017-11-01,1,6,160,0,12,12,0,0
2017-11-01,1,7,195,30,7,3,0,0
2017-11-01,1,8,82,15,10,2,0,0
2017-11-01,1,9,120,0,71,60,0,0
2017-11-01,1,10,20,0,11,0,0,0
2017-11-01,1,11,176,0,53,39,33,20
2017-11-01,0,12,250,0,97,0,17,0
2017-11-01,0,13,44,0,38,0,46,0
2017-11-01,0,14,140,0,16,0,5,0
2017-11-01,0,15,200,0,10,0,12,0
2017-11-01,0,16,80,0,8,0,10,0
2017-11-01,0,17,40,0,11,0,10,0
2017-11-01,0,18,20,0,1,0,0,0
2017-11-01,0,19,5,0,1,0,0,0
2017-11-01,0,20,50,0,27,1,9,0
2017-11-01,0,21,50,0,20,0,8,0
2017-11-01,0,23,150,0,8,0,12,0
2017-11-01,0,24,0,0,0,0,0,0
2017-11-01,0,25,10,0,1,0,0,3
2017-11-01,0,26,111,0,7,0,12,0
2017-11-01,0,27,40,0,6,0,5,0
2017-11-01,0,28,120,0,8,8,22,22
2017-11-01,0,29,40,0,5,1,10,0
2017-11-01,0,30,20,0,4,0,2,0
2017-12-01,1,0,320,0,101,62,30,13
2017-12-01,1,1,187,187,125,58,2,0
2017-12-01,1,2,20,0,12,0,11,0
2017-12-01,1,3,17,0,14,0,0,0
2017-12-01,1,4,126,0,76,76,0,0
2017-12-01,1,5,44,44,44,43,4,4
2017-12-01,1,6,160,0,12,12,0,0
2017-12-01,1,7,152,30,6,3,0,0
2017-12-01,1,8,60,15,10,2,0,0
2017-12-01,1,9,71,0,71,60,3,0
2017-12-01,1,10,20,0,11,11,10,0
2017-12-01,1,11,170,0,53,39,35,18
2017-12-01,0,12,230,0,97,0,17,0
2017-12-01,0,13,55,0,36,0,40,0
2017-12-01,0,14,140,0,14,0,30,0
2017-12-01,0,15,210,0,10,0,20,0
2017-12-01,0,16,80,0,8,0,0,0
2017-12-01,0,17,40,0,10,0,0,0
2017-12-01,0,18,20,0,1,0,0,0
2017-12-01,0,19,5,0,1,0,0,0
2017-12-01,0,20,50,0,27,1,6,0
2017-12-01,0,21,50,0,20,0,6,0
2017-12-01,0,23,150,0,7,0,10,0
2017-12-01,0,24,5,0,0,0,0,0
2017-12-01,0,25,10,0,1,0,0,0
2017-12-01,0,26,111,0,9,0,10,0
2017-12-01,0,27,40,0,6,0,8,0
2017-12-01,0,28,115,0,8,8,0,0
2017-12-01,0,29,40,0,6,1,5,0
2017-12-01,0,30,20,0,4,0,5,0
2017-12-01,0,31,60,0,2,0,10,0
2017-12-01,0,32,300,0,4,0,60,0
2018-01-01,1,0,330,0,103,62,20,13
2018-01-01,1,1,187,187,122,58,9,0
2018-01-01,1,2,20,0,12,0,6,0
2018-01-01,1,3,13,0,13,0,0,0
2018-01-01,1,4,118,0,75,73,9,0
2018-01-01,1,5,43,43,43,42,18,0
2018-01-01,1,6,160,0,12,12,0,0
2018-01-01,1,7,160,20,6,3,0,0
2018-01-01,1,8,70,15,9,2,0,0
2018-01-01,1,9,81,0,71,60,3,0
2018-01-01,1,10,23,0,10,10,6,0
2018-01-01,1,11,180,0,53,39,14,0
2018-01-01,0,12,230,0,103,0,20,0
2018-01-01,0,13,55,0,40,0,35,0
2018-01-01,0,14,200,0,12,0,25,0
2018-01-01,0,15,215,0,11,0,75,0
2018-01-01,0,16,80,0,9,0,0,0
2018-01-01,0,17,30,0,9,0,0,0
2018-01-01,0,18,20,0,1,0,0,0
2018-01-01,0,19,5,0,1,0,0,0
2018-01-01,0,20,50,0,20,0,8,0
2018-01-01,0,21,50,0,18,0,7,0
2018-01-01,0,23,150,0,7,0,12,0
2018-01-01,0,24,0,0,0,0,0,0
2018-01-01,0,25,10,0,1,0,0,0
2018-01-01,0,26,111,0,7,0,10,0
2018-01-01,0,27,40,0,6,0,10,0
2018-01-01,0,28,113,0,8,8,11,0
2018-01-01,0,29,80,0,7,1,10,1
2018-01-01,0,30,20,0,3,0,5,0
2018-01-01,0,31,60,0,5,0,10,0
2018-01-01,0,32,330,0,6,0,20,0
2018-02-01,1,0,317,0,103,62,20,13
2018-02-01,1,1,187,187,121,58,7,0
2018-02-01,1,2,21,0,12,0,6,0
2018-02-01,1,3,10,0,10,10,0,0
2018-02-01,1,4,118,0,79,77,10,8
2018-02-01,1,5,43,43,43,42,17,17
2018-02-01,1,6,160,0,12,12,0,0
2018-02-01,1,7,160,20,6,3,0,0
2018-02-01,1,8,70,15,9,2,0,0
2018-02-01,1,9,81,0,71,60,4,0
2018-02-01,1,10,22,0,10,10,2,0
2018-02-01,1,11,180,0,53,39,14,0
2018-02-01,0,12,230,0,106,0,20,0
2018-02-01,0,13,55,0,39,0,25,0
2018-02-01,0,14,200,0,14,0,20,0
2018-02-01,0,15,220,0,12,0,33,0
2018-02-01,0,16,100,0,8,0,5,0
2018-02-01,0,17,30,0,7,0,0,0
2018-02-01,0,18,20,0,1,0,0,0
2018-02-01,0,19,5,0,1,0,0,0
2018-02-01,0,20,50,0,20,1,8,0
2018-02-01,0,21,50,0,19,0,9,0
2018-02-01,0,23,150,0,7,0,7,0
2018-02-01,0,24,0,0,0,0,0,0
2018-02-01,0,25,10,0,1,0,0,0
2018-02-01,0,26,120,0,7,0,10,0
2018-02-01,0,27,40,0,6,0,10,0
2018-02-01,0,28,111,0,23,23,10,4
2018-02-01,0,29,80,0,7,1,5,0
2018-02-01,0,30,20,0,3,0,5,0
2018-02-01,0,31,65,0,10,0,10,0
2018-02-01,0,32,350,0,8,0,15,0
2018-03-01,1,0,333,0,108,69,0,0
2018-03-01,1,1,178,178,124,58,10,7
2018-03-01,1,2,20,0,11,0,0,0
2018-03-01,1,3,10,0,10,0,0,0
